SN,Commodity,Date,Unit,Minimum,Maximum,Average
203,Sweet Orange,6/18/13,Kg,90,,95
204,Pineapple,6/18/13,1 Pc,60,70,65
205,Cucumber(Local),6/18/13,Kg,25,30,27.5
206,Jack Fruit,6/18/13,Kg,20,25,22.5
207,Papaya(Nepali),6/18/13,Kg,55,60,57.5
208,Sugarcane,6/18/13,1 Pc,50,60,55
209,Ginger,6/18/13,Kg,140,150,145
210,Chilli Dry,6/18/13,Kg,170,180,175
211,Chilli Green,6/18/13,Kg,35,40,37.5
212,Capsicum,6/18/13,Kg,55,60,57.5
213,Garlic Green,6/18/13,Kg,45,50,47.5
214,Coriander Green,6/18/13,Kg,90,100,95
215,Garlic Dry Chinese,6/18/13,Kg,100,110,105
216,Garlic Dry Nepali,6/18/13,Kg,50,60,55
217,Clive Dry,6/18/13,Kg,70,80,75
218,Clive Green,6/18/13,Kg,50,60,55
219,Fish Fresh,6/18/13,Kg,210,220,215
220,Tomato Big(Nepali),6/19/13,Kg,25,30,27.5
221,Tomato Small(Local),6/19/13,Kg,24,28,26
222,Potato Red,6/19/13,Kg,20,21,20.5
223,Potato White,6/19/13,Kg,15,16,15.5
224,Onion Dry (Indian),6/19/13,Kg,34,35,34.5
225,Carrot(Local),6/19/13,Kg,38,42,40
226,Cabbage(Local),6/19/13,Kg,10,15,12.5
227,Cauli Local,6/19/13,Kg,25,30,27.5
228,Raddish Red,6/19/13,Kg,35,40,37.5
229,Raddish White(Local),6/19/13,Kg,30,35,32.5
230,Brinjal Long,6/19/13,Kg,22,26,24
231,Brinjal Round,6/19/13,Kg,25,30,27.5
232,Cow pea(Long),6/19/13,Kg,25,30,27.5
233,Green Peas,6/19/13,Kg,55,60,57.5
234,French Bean(Local),6/19/13,Kg,30,35,32.5
235,Soyabean Green,6/19/13,Kg,55,60,57.5
236,Bitter Gourd,6/19/13,Kg,20,25,22.5
237,Bottle Gourd,6/19/13,Kg,18,20,19
238,Pointed Gourd(Local),6/19/13,Kg,30,35,32.5
239,Snake Gourd,6/19/13,Kg,25,30,27.5
240,Smooth Gourd,6/19/13,Kg,20,25,22.5
241,Sponge Gourd,6/19/13,Kg,40,45,42.5
242,Pumpkin,6/19/13,Kg,18,20,19
243,Squash(Long),6/19/13,Kg,15,20,17.5
244,Turnip,6/19/13,Kg,45,50,47.5
245,Okara,6/19/13,Kg,35,40,37.5
246,Christophine,6/19/13,Kg,35,40,37.5
247,Brd Leaf Mustard,6/19/13,Kg,40,45,42.5
248,Spinach Leaf,6/19/13,Kg,40,45,42.5
249,Cress Leaf,6/19/13,Kg,40,45,42.5
250,Mustard Leaf,6/19/13,Kg,35,40,37.5
251,Fenugreek Leaf,6/19/13,Kg,40,45,42.5
252,Onion Green,6/19/13,Kg,40,45,42.5
253,Mushroom(Kanya),6/19/13,Kg,180,200,190
254,Asparagus,6/19/13,Kg,100,125,112.5
255,Neuro,6/19/13,Kg,40,50,45
256,Brocauli,6/19/13,Kg,70,80,75
257,Sugarbeet,6/19/13,Kg,45,50,47.5
258,Red Cabbbage,6/19/13,Kg,70,80,75
259,Lettuce,6/19/13,Kg,55,60,57.5
260,Celery,6/19/13,Kg,120,130,125
261,Parseley,6/19/13,Kg,180,190,185
262,Fennel Leaf,6/19/13,Kg,45,50,47.5
263,Mint,6/19/13,Kg,120,130,125
264,Turnip A,6/19/13,Kg,45,50,47.5
265,Tamarind,6/19/13,Kg,65,70,67.5
266,Bamboo Shoot,6/19/13,Kg,50,60,55
267,Tofu,6/19/13,Kg,55,60,57.5
268,Gundruk,6/19/13,Kg,180,190,185
269,Apple(Jholey),6/19/13,Kg,110,120,115
270,Banana,6/19/13,Doz,70,80,75
271,Lime,6/19/13,Kg,200,400,300
272,Pomegranate,6/19/13,Kg,200,220,210
273,Mango(Maldah),6/19/13,Kg,50,60,55
274,Grapes(Green),6/19/13,Kg,250,260,255
275,Water Melon(Green),6/19/13,Kg,14,16,15
276,Sweet Orange,6/19/13,Kg,90,100,95
277,Pineapple,6/19/13,1 Pc,70,80,75
278,Cucumber(Local),6/19/13,Kg,30,35,32.5
279,Jack Fruit,6/19/13,Kg,20,25,22.5
280,Papaya(Nepali),6/19/13,Kg,60,65,62.5
281,Sugarcane,6/19/13,1 Pc,50,60,55
282,Ginger,6/19/13,Kg,140,150,145
283,Chilli Dry,6/19/13,Kg,170,180,175
284,Chilli Green,6/19/13,Kg,35,40,37.5
285,Capsicum,6/19/13,Kg,55,60,57.5
286,Garlic Green,6/19/13,Kg,45,50,47.5
287,Coriander Green,6/19/13,Kg,90,100,95
288,Garlic Dry Chinese,6/19/13,Kg,100,110,105
289,Garlic Dry Nepali,6/19/13,Kg,50,60,55
290,Clive Dry,6/19/13,Kg,70,80,75
291,Clive Green,6/19/13,Kg,50,60,55
292,Fish Fresh,6/19/13,Kg,210,220,215
293,Tomato Big(Nepali),6/20/13,Kg,25,30,27.5
294,Tomato Small(Local),6/20/13,Kg,22,26,24
295,Potato Red,6/20/13,Kg,20,21,20.5
296,Potato White,6/20/13,Kg,15,16,15.5
297,Onion Dry (Indian),6/20/13,Kg,35,36,35.5
298,Carrot(Local),6/20/13,Kg,40,42,41
299,Cabbage(Local),6/20/13,Kg,10,15,12.5
300,Cauli Local,6/20/13,Kg,20,25,22.5
301,Raddish Red,6/20/13,Kg,35,40,37.5
302,Raddish White(Local),6/20/13,Kg,28,32,30
303,Brinjal Long,6/20/13,Kg,20,25,22.5
304,Brinjal Round,6/20/13,Kg,25,30,27.5
305,Cow pea(Long),6/20/13,Kg,30,35,32.5
306,Green Peas,6/20/13,Kg,55,60,57.5
307,French Bean(Local),6/20/13,Kg,30,40,35
308,Soyabean Green,6/20/13,Kg,50,55,52.5
309,Bitter Gourd,6/20/13,Kg,20,25,22.5
310,Bottle Gourd,6/20/13,Kg,20,25,22.5
311,Pointed Gourd(Local),6/20/13,Kg,30,35,32.5
312,Snake Gourd,6/20/13,Kg,30,35,32.5
313,Smooth Gourd,6/20/13,Kg,20,25,22.5
314,Sponge Gourd,6/20/13,Kg,45,50,47.5
315,Pumpkin,6/20/13,Kg,18,20,19
316,Squash(Long),6/20/13,Kg,15,20,17.5
317,Turnip,6/20/13,Kg,40,45,42.5
318,Okara,6/20/13,Kg,35,40,37.5
319,Christophine,6/20/13,Kg,35,40,37.5
320,Brd Leaf Mustard,6/20/13,Kg,40,45,42.5
321,Spinach Leaf,6/20/13,Kg,45,50,47.5
322,Cress Leaf,6/20/13,Kg,45,50,47.5
323,Mustard Leaf,6/20/13,Kg,35,40,37.5
324,Fenugreek Leaf,6/20/13,Kg,45,50,47.5
325,Onion Green,6/20/13,Kg,35,40,37.5
326,Mushroom(Kanya),6/20/13,Kg,200,220,210
327,Asparagus,6/20/13,Kg,100,120,110
328,Neuro,6/20/13,Kg,50,60,55
329,Brocauli,6/20/13,Kg,70,80,75
330,Sugarbeet,6/20/13,Kg,35,40,37.5
331,Drumstick,6/20/13,Kg,45,50,47.5
332,Red Cabbbage,6/20/13,Kg,70,80,75
333,Lettuce,6/20/13,Kg,45,50,47.5
334,Celery,6/20/13,Kg,120,130,125
335,Parseley,6/20/13,Kg,170,180,175
336,Fennel Leaf,6/20/13,Kg,45,50,47.5
337,Mint,6/20/13,Kg,120,130,125
338,Turnip A,6/20/13,Kg,50,60,55
339,Tamarind,6/20/13,Kg,65,70,67.5
340,Bamboo Shoot,6/20/13,Kg,50,60,55
341,Tofu,6/20/13,Kg,55,60,57.5
342,Gundruk,6/20/13,Kg,180,190,185
343,Apple(Jholey),6/20/13,Kg,110,120,115
344,Banana,6/20/13,Doz,70,80,75
345,Lime,6/20/13,Kg,200,400,300
346,Pomegranate,6/20/13,Kg,190,200,195
347,Mango(Maldah),6/20/13,Kg,50,60,55
348,Grapes(Green),6/20/13,Kg,250,260,255
349,Water Melon(Green),6/20/13,Kg,14,16,15
350,Sweet Orange,6/20/13,Kg,90,100,95
351,Pineapple,6/20/13,1 Pc,60,70,65
352,Cucumber(Local),6/20/13,Kg,30,35,32.5
353,Jack Fruit,6/20/13,Kg,20,25,22.5
354,Papaya(Nepali),6/20/13,Kg,55,55,55
355,Sugarcane,6/20/13,1 Pc,50,60,55
356,Ginger,6/20/13,Kg,140,150,145
357,Chilli Dry,6/20/13,Kg,170,180,175
358,Chilli Green,6/20/13,Kg,40,50,45
359,Capsicum,6/20/13,Kg,50,55,52.5
360,Garlic Green,6/20/13,Kg,40,45,42.5
361,Coriander Green,6/20/13,Kg,50,60,55
362,Garlic Dry Chinese,6/20/13,Kg,100,110,105
363,Garlic Dry Nepali,6/20/13,Kg,50,60,55
364,Clive Dry,6/20/13,Kg,70,80,75
365,Clive Green,6/20/13,Kg,70,80,75
366,Fish Fresh,6/20/13,Kg,210,220,215
367,Tomato Big(Nepali),6/21/13,Kg,25,30,27.5
368,Tomato Small(Local),6/21/13,Kg,15,20,17.5
369,Potato Red,6/21/13,Kg,21,22,21.5
370,Potato White,6/21/13,Kg,16,17,16.5
371,Onion Dry (Indian),6/21/13,Kg,34,35,34.5
372,Carrot(Local),6/21/13,Kg,40,45,42.5
373,Cabbage(Local),6/21/13,Kg,8,12,10
374,Cauli Local,6/21/13,Kg,20,24,22
375,Raddish Red,6/21/13,Kg,35,40,37.5
376,Raddish White(Local),6/21/13,Kg,25,30,27.5
377,Brinjal Long,6/21/13,Kg,18,22,20
378,Brinjal Round,6/21/13,Kg,25,30,27.5
379,Cow pea(Long),6/21/13,Kg,30,35,32.5
380,Green Peas,6/21/13,Kg,55,60,57.5
381,French Bean(Local),6/21/13,Kg,35,40,37.5
382,Soyabean Green,6/21/13,Kg,55,60,57.5
383,Bitter Gourd,6/21/13,Kg,18,22,20
384,Bottle Gourd,6/21/13,Kg,20,22,21
385,Pointed Gourd(Local),6/21/13,Kg,30,35,32.5
386,Snake Gourd,6/21/13,Kg,35,40,37.5
387,Smooth Gourd,6/21/13,Kg,18,22,20
388,Sponge Gourd,6/21/13,Kg,45,50,47.5
389,Pumpkin,6/21/13,Kg,18,20,19
390,Squash(Long),6/21/13,Kg,18,20,19
391,Turnip,6/21/13,Kg,45,50,47.5
392,Okara,6/21/13,Kg,45,55,50
393,Christophine,6/21/13,Kg,35,40,37.5
394,Brd Leaf Mustard,6/21/13,Kg,45,50,47.5
395,Spinach Leaf,6/21/13,Kg,45,50,47.5
396,Cress Leaf,6/21/13,Kg,45,50,47.5
397,Mustard Leaf,6/21/13,Kg,35,40,37.5
398,Fenugreek Leaf,6/21/13,Kg,45,50,47.5
399,Onion Green,6/21/13,Kg,35,40,37.5
400,Mushroom(Kanya),6/21/13,Kg,180,200,190
401,Asparagus,6/21/13,Kg,100,120,110
402,Neuro,6/21/13,Kg,50,60,55
403,Brocauli,6/21/13,Kg,70,80,75
404,Sugarbeet,6/21/13,Kg,35,40,37.5
405,Drumstick,6/21/13,Kg,45,50,47.5
406,Red Cabbbage,6/21/13,Kg,70,80,75
407,Lettuce,6/21/13,Kg,40,45,42.5
408,Celery,6/21/13,Kg,120,130,125
409,Parseley,6/21/13,Kg,180,190,185
410,Fennel Leaf,6/21/13,Kg,45,50,47.5
411,Mint,6/21/13,Kg,120,130,125
412,Turnip A,6/21/13,Kg,45,50,47.5
413,Tamarind,6/21/13,Kg,65,70,67.5
414,Bamboo Shoot,6/21/13,Kg,50,60,55
415,Tofu,6/21/13,Kg,55,60,57.5
416,Gundruk,6/21/13,Kg,180,190,185
417,Apple(Jholey),6/21/13,Kg,110,120,115
418,Banana,6/21/13,Doz,70,80,75
419,Lime,6/21/13,Kg,200,400,300
420,Pomegranate,6/21/13,Kg,200,210,205
421,Mango(Maldah),6/21/13,Kg,40,50,45
422,Grapes(Green),6/21/13,Kg,250,260,255
423,Water Melon(Green),6/21/13,Kg,16,18,17
424,Sweet Orange,6/21/13,Kg,90,100,95
425,Pineapple,6/21/13,1 Pc,60,70,65
426,Cucumber(Local),6/21/13,Kg,25,30,27.5
427,Jack Fruit,6/21/13,Kg,15,20,17.5
428,Papaya(Nepali),6/21/13,Kg,55,60,57.5
429,Sugarcane,6/21/13,1 Pc,50,60,55
430,Ginger,6/21/13,Kg,130,140,135
431,Chilli Dry,6/21/13,Kg,170,180,175
432,Chilli Green,6/21/13,Kg,50,60,55
433,Capsicum,6/21/13,Kg,50,55,52.5
434,Garlic Green,6/21/13,Kg,45,50,47.5
435,Coriander Green,6/21/13,Kg,50,70,60
436,Garlic Dry Chinese,6/21/13,Kg,100,110,105
437,Garlic Dry Nepali,6/21/13,Kg,50,60,55
438,Clive Dry,6/21/13,Kg,70,80,75
439,Clive Green,6/21/13,Kg,50,60,55
440,Fish Fresh,6/21/13,Kg,210,220,215
441,Tomato Big(Nepali),6/25/13,Kg,30,35,32.5
442,Tomato Small(Local),6/25/13,Kg,25,30,27.5
443,Potato Red,6/25/13,Kg,23,25,24
444,Potato White,6/25/13,Kg,17,18,17.5
445,Onion Dry (Indian),6/25/13,Kg,33,35,34
446,Carrot(Local),6/25/13,Kg,40,45,42.5
447,Cabbage(Local),6/25/13,Kg,10,15,12.5
448,Cauli Local,6/25/13,Kg,20,25,22.5
449,Raddish Red,6/25/13,Kg,40,45,42.5
450,Raddish White(Local),6/25/13,Kg,20,25,22.5
451,Brinjal Long,6/25/13,Kg,35,40,37.5
452,Brinjal Round,6/25/13,Kg,30,35,32.5
453,Cow pea(Long),6/25/13,Kg,40,45,42.5
454,Green Peas,6/25/13,Kg,55,60,57.5
455,French Bean(Local),6/25/13,Kg,35,40,37.5
456,Soyabean Green,6/25/13,Kg,50,55,52.5
457,Bitter Gourd,6/25/13,Kg,25,30,27.5
458,Bottle Gourd,6/25/13,Kg,30,35,32.5
459,Pointed Gourd(Local),6/25/13,Kg,35,40,37.5
460,Snake Gourd,6/25/13,Kg,30,35,32.5
461,Smooth Gourd,6/25/13,Kg,25,30,27.5
462,Sponge Gourd,6/25/13,Kg,45,50,47.5
463,Pumpkin,6/25/13,Kg,18,20,19
464,Squash(Long),6/25/13,Kg,15,20,17.5
465,Okara,6/25/13,Kg,40,45,42.5
466,Arum,6/25/13,Kg,28,32,30
467,Christophine,6/25/13,Kg,35,40,37.5
468,Brd Leaf Mustard,6/25/13,Kg,40,45,42.5
469,Spinach Leaf,6/25/13,Kg,45,50,47.5
470,Cress Leaf,6/25/13,Kg,45,50,47.5
471,Mustard Leaf,6/25/13,Kg,35,40,37.5
472,Fenugreek Leaf,6/25/13,Kg,40,45,42.5
473,Onion Green,6/25/13,Kg,40,45,42.5
474,Mushroom(Kanya),6/25/13,Kg,150,170,160
475,Asparagus,6/25/13,Kg,100,125,112.5
476,Neuro,6/25/13,Kg,50,60,55
477,Brocauli,6/25/13,Kg,70,80,75
478,Sugarbeet,6/25/13,Kg,35,40,37.5
479,Red Cabbbage,6/25/13,Kg,70,80,75
480,Lettuce,6/25/13,Kg,45,50,47.5
481,Celery,6/25/13,Kg,120,130,125
482,Parseley,6/25/13,Kg,180,190,185
483,Fennel Leaf,6/25/13,Kg,45,50,47.5
484,Mint,6/25/13,Kg,120,130,125
485,Turnip A,6/25/13,Kg,45,50,47.5
486,Tamarind,6/25/13,Kg,65,70,67.5
487,Bamboo Shoot,6/25/13,Kg,50,60,55
488,Tofu,6/25/13,Kg,55,60,57.5
489,Gundruk,6/25/13,Kg,180,190,185
490,Apple(Jholey),6/25/13,Kg,110,130,120
491,Banana,6/25/13,Doz,60,70,65
492,Lime,6/25/13,Kg,200,400,300
493,Pomegranate,6/25/13,Kg,230,250,240
494,Mango(Maldah),6/25/13,Kg,50,60,55
495,Grapes(Green),6/25/13,Kg,250,260,255
496,Water Melon(Green),6/25/13,Kg,17,18,17.5
497,Sweet Orange,6/25/13,Kg,90,100,95
498,Pineapple,6/25/13,1 Pc,60,70,65
499,Cucumber(Local),6/25/13,Kg,25,30,27.5
500,Jack Fruit,6/25/13,Kg,20,25,22.5
501,Papaya(Nepali),6/25/13,Kg,55,60,57.5
502,Sugarcane,6/25/13,1 Pc,50,60,55
503,Ginger,6/25/13,Kg,140,150,145
504,Chilli Dry,6/25/13,Kg,170,180,175
505,Chilli Green,6/25/13,Kg,30,40,35
506,Capsicum,6/25/13,Kg,70,80,75
507,Garlic Green,6/25/13,Kg,45,50,47.5
508,Coriander Green,6/25/13,Kg,45,50,47.5
509,Garlic Dry Chinese,6/25/13,Kg,100,110,105
510,Garlic Dry Nepali,6/25/13,Kg,50,60,55
511,Clive Dry,6/25/13,Kg,70,80,75
512,Clive Green,6/25/13,Kg,50,60,55
513,Fish Fresh,6/25/13,Kg,210,220,215
514,Tomato Big(Nepali),6/26/13,Kg,30,35,32.5
515,Tomato Small(Local),6/26/13,Kg,20,25,22.5
516,Potato Red,6/26/13,Kg,22,23,22.5
517,Potato White,6/26/13,Kg,17,18,17.5
518,Onion Dry (Indian),6/26/13,Kg,33,35,34
519,Carrot(Local),6/26/13,Kg,35,40,37.5
520,Cabbage(Local),6/26/13,Kg,10,15,12.5
